actual_completed,condition_id,errors,predicted_completed,predictor_name,status
True,flat,"{'mean_slip': 0.0007563792714207914, 'mean_wheel_torque_nm': 0.002536075881209206, 'energy_j': 0.40052683041198645, 'mean_speed_mps': 0.0625200403420123, 'distance_m': 0.40625522214236565}",True,identity_baseline,OK
True,flat,"{'mean_slip': 0.0007563792714207914, 'mean_wheel_torque_nm': 0.004043437184165667, 'energy_j': 0.8724163876719203, 'mean_speed_mps': 0.0625200403420123, 'distance_m': 0.40625522214236565}",True,slope_only,OK
True,flat,"{'mean_slip': 0.0007927431914788049, 'mean_wheel_torque_nm': 0.001698652935122284, 'energy_j': 0.13836596526757894, 'mean_speed_mps': 0.0625200403420123, 'distance_m': 0.40625522214236565}",True,terrain_only,OK
True,flat,,,user_formula,NOT_CONFIGURED
True,slope_5deg,"{'mean_slip': 0.010418062508354753, 'mean_wheel_torque_nm': 0.01793021586645223, 'energy_j': 4.142887232873163, 'mean_speed_mps': 0.044490665453001066, 'distance_m': 0.2891003441135789}",True,identity_baseline,OK
True,slope_5deg,"{'mean_slip': 0.010418062508354753, 'mean_wheel_torque_nm': 0.010755792930794168, 'energy_j': 0.9198805410254813, 'mean_speed_mps': 0.044490665453001066, 'distance_m': 0.2891003441135789}",True,slope_only,OK
True,slope_5deg,"{'mean_slip': 0.00343817373232147, 'mean_wheel_torque_nm': 0.010755792930794168, 'energy_j': 0.9198805410254831, 'mean_speed_mps': 0.044490665453001066, 'distance_m': 0.2891003441135789}",True,terrain_only,OK
True,slope_5deg,,,user_formula,NOT_CONFIGURED
True,slope_15deg,"{'mean_slip': 1.667438114673382, 'mean_wheel_torque_nm': 0.0007029448389050724, 'energy_j': 0.4414562136622179, 'mean_speed_mps': 0.05109362809493179, 'distance_m': 0.33200639536084164}",True,identity_baseline,OK
True,slope_15deg,"{'mean_slip': 1.667438114673382, 'mean_wheel_torque_nm': 0.0004785374117236465, 'energy_j': 0.24003860031035051, 'mean_speed_mps': 0.05109362809493179, 'distance_m': 0.33200639536084164}",True,slope_only,OK
True,slope_15deg,"{'mean_slip': 1.393027543369357, 'mean_wheel_torque_nm': 0.0004785374117236465, 'energy_j': 0.24003860031035051, 'mean_speed_mps': 0.05109362809493179, 'distance_m': 0.33200639536084164}",True,terrain_only,OK
True,slope_15deg,,,user_formula,NOT_CONFIGURED
True,friction_low,"{'mean_slip': 0.0010391809845601875, 'mean_wheel_torque_nm': 0.002411957545680559, 'energy_j': 0.43933340355207195, 'mean_speed_mps': 0.06282150718076385, 'distance_m': 0.4082141536605728}",True,identity_baseline,OK
True,friction_low,"{'mean_slip': 0.0010391809845601875, 'mean_wheel_torque_nm': 0.003930229399260529, 'energy_j': 0.9216064670750779, 'mean_speed_mps': 0.06282150718076385, 'distance_m': 0.4082141536605728}",True,slope_only,OK
True,friction_low,"{'mean_slip': 0.0009681692713043206, 'mean_wheel_torque_nm': 0.0015684731825805769, 'energy_j': 0.17140392381706882, 'mean_speed_mps': 0.06282150718076385, 'distance_m': 0.4082141536605728}",True,terrain_only,OK
True,friction_low,,,user_formula,NOT_CONFIGURED
True,friction_mid,"{'mean_slip': 0.003378483413284883, 'mean_wheel_torque_nm': 0.0025090153974320854, 'energy_j': 0.37872095171015785, 'mean_speed_mps': 0.06249043616031302, 'distance_m': 0.40606285416968335}",True,identity_baseline,OK
True,friction_mid,"{'mean_slip': 0.003378483413284883, 'mean_wheel_torque_nm': 0.004043437184165667, 'energy_j': 0.8724163876719203, 'mean_speed_mps': 0.06249043616031302, 'distance_m': 0.40606285416968335}",True,slope_only,OK
True,friction_mid,"{'mean_slip': 0.003462963349289789, 'mean_wheel_torque_nm': 0.0016565588492467626, 'energy_j': 0.10444570950917886, 'mean_speed_mps': 0.06249043616031302, 'distance_m': 0.40606285416968335}",True,terrain_only,OK
True,friction_mid,,,user_formula,NOT_CONFIGURED
True,friction_high,"{'mean_slip': 0.011174000672234102, 'mean_wheel_torque_nm': 0.0024003193527064115, 'energy_j': 0.4353928886997695, 'mean_speed_mps': 0.0626084782946067, 'distance_m': 0.40682989195832375}",True,identity_baseline,OK
True,friction_high,"{'mean_slip': 0.011174000672234102, 'mean_wheel_torque_nm': 0.003973918951047204, 'energy_j': 0.9324147591652816, 'mean_speed_mps': 0.0626084782946067, 'distance_m': 0.40682989195832375}",True,slope_only,OK
True,friction_high,"{'mean_slip': 0.011067971080380615, 'mean_wheel_torque_nm': 0.0015260973536281941, 'energy_j': 0.1592696273300408, 'mean_speed_mps': 0.0626084782946067, 'distance_m': 0.40682989195832375}",True,terrain_only,OK
True,friction_high,,,user_formula,NOT_CONFIGURED
True,obstacle_low,"{'mean_slip': 0.013963626932433791, 'mean_wheel_torque_nm': 0.0023368550787204417, 'energy_j': 0.39996001017103855, 'mean_speed_mps': 0.07150265906928865, 'distance_m': 0.4646242786322028}",True,identity_baseline,OK
True,obstacle_low,"{'mean_slip': 0.013963626932433791, 'mean_wheel_torque_nm': 0.005761174585036276, 'energy_j': 2.139083031795905, 'mean_speed_mps': 0.07150265906928865, 'distance_m': 0.4646242786322028}",True,slope_only,OK
True,obstacle_low,"{'mean_slip': 0.01440812791961346, 'mean_wheel_torque_nm': 0.00043445535298942354, 'energy_j': 0.5662194462872199, 'mean_speed_mps': 0.07150265906928865, 'distance_m': 0.4646242786322028}",True,terrain_only,OK
True,obstacle_low,,,user_formula,NOT_CONFIGURED
True,obstacle_high,"{'mean_slip': 0.02165266689934975, 'mean_wheel_torque_nm': 0.020502612193292552, 'energy_j': 9.05862040793814, 'mean_speed_mps': 0.01757179200202097, 'distance_m': 0.11418150442912367}",True,identity_baseline,OK
True,obstacle_high,"{'mean_slip': 0.02165266689934975, 'mean_wheel_torque_nm': 0.03628051836222307, 'energy_j': 6.765530913854392, 'mean_speed_mps': 0.01757179200202097, 'distance_m': 0.11418150442912367}",True,slope_only,OK
True,obstacle_high,"{'mean_slip': 0.03336918596722349, 'mean_wheel_torque_nm': 0.052048795835245645, 'energy_j': 17.84981558671176, 'mean_speed_mps': 0.01757179200202097, 'distance_m': 0.11418150442912367}",True,terrain_only,OK
True,obstacle_high,,,user_formula,NOT_CONFIGURED
