actual_completed,condition_id,errors,predicted_completed,predictor_name,status
False,flat,"{'mean_slip': 0.026465095180112818, 'mean_wheel_torque_nm': 0.004110918726207345, 'energy_j': 1.0677710716554243, 'mean_speed_mps': 0.052706610483777006, 'distance_m': 0.3424875549235571}",True,identity_baseline,OK
False,flat,"{'mean_slip': 0.026465095180112818, 'mean_wheel_torque_nm': 0.005528252622655091, 'energy_j': 1.6321528761691628, 'mean_speed_mps': 0.052706610483777006, 'distance_m': 0.3424875549235571}",True,slope_only,OK
False,flat,"{'mean_slip': 0.025427292507316766, 'mean_wheel_torque_nm': 0.0033235110059585977, 'energy_j': 0.7542256247033478, 'mean_speed_mps': 0.052706610483777006, 'distance_m': 0.3424875549235571}",True,terrain_only,OK
False,flat,,,user_formula,NOT_CONFIGURED
True,slope_5deg,"{'mean_slip': 0.36118164792239327, 'mean_wheel_torque_nm': 0.009617159929489565, 'energy_j': 2.9083807952335707, 'mean_speed_mps': 0.10986730618971718, 'distance_m': 0.7139177556207281}",True,identity_baseline,OK
True,slope_5deg,"{'mean_slip': 0.36118164792239327, 'mean_wheel_torque_nm': 0.004720136264324094, 'energy_j': 0.259915468504035, 'mean_speed_mps': 0.10986730618971718, 'distance_m': 0.7139177556207281}",True,slope_only,OK
True,slope_5deg,"{'mean_slip': 0.6476185523710483, 'mean_wheel_torque_nm': 0.004720136264324095, 'energy_j': 0.25991546850403324, 'mean_speed_mps': 0.10986730618971718, 'distance_m': 0.7139177556207281}",True,terrain_only,OK
True,slope_5deg,,,user_formula,NOT_CONFIGURED
False,slope_10deg,"{'mean_slip': 0.3158192019673134, 'mean_wheel_torque_nm': 0.018465215010861267, 'energy_j': 5.636488236692074, 'mean_speed_mps': 0.2500443729811721, 'distance_m': 1.624788335631533}",True,identity_baseline,OK
False,slope_10deg,"{'mean_slip': 0.3158192019673134, 'mean_wheel_torque_nm': 0.00810676424264185, 'energy_j': 0.38321952735930864, 'mean_speed_mps': 0.2500443729811721, 'distance_m': 1.624788335631533}",True,slope_only,OK
