patch_id,grid_x,grid_y,slope_long_deg,slope_lat_deg,roughness_m,obstacle_height_m,gap_width_m,scout_slip,scout_sinkage_m,scout_wheel_torque_nm,scout_cot,vibration_rms_g,surface_hint
1,0,0,1,1,0.006,0.005,0.0,0.03,0.004,0.4,0.35,0.05,rigid_flat
2,1,0,2,0,0.01,0.008,0.0,0.04,0.005,0.5,0.38,0.06,
3,2,0,6,2,0.015,0.012,0.02,0.06,0.008,0.7,0.5,0.08,rigid_flat
4,3,0,12,3,0.02,0.02,0.02,0.07,0.01,0.9,0.65,0.1,rigid_slope
5,4,0,20,4,0.025,0.03,0.04,0.1,0.012,1.2,0.85,0.12,rigid_slope
6,0,1,4,2,0.055,0.045,0.02,0.12,0.012,1.1,0.95,0.42,rocky_rough
7,1,1,8,5,0.075,0.06,0.03,0.16,0.014,1.4,1.15,0.65,
8,2,1,5,4,0.09,0.07,0.04,0.18,0.016,1.6,1.25,0.85,rocky_rough
9,3,1,3,2,0.012,0.012,0.01,0.32,0.055,1.0,1.25,0.18,granular
10,4,1,2,1,0.018,0.018,0.01,0.22,0.03,0.8,0.9,0.15,granular
11,0,2,11,7,0.02,0.02,0.03,0.36,0.065,1.3,1.45,0.22,granular_slope
12,1,2,16,9,0.024,0.03,0.05,0.42,0.08,1.7,1.75,0.3,
13,2,2,5,2,0.025,0.055,0.03,0.1,0.012,1.0,0.85,0.2,obstacle_step
14,3,2,7,3,0.03,0.095,0.05,0.18,0.02,1.5,1.3,0.35,obstacle_step
15,4,2,8,3,0.04,0.125,0.06,0.22,0.028,2.1,1.65,0.48,obstacle_step
16,0,3,4,2,0.018,0.02,0.18,0.08,0.009,0.8,0.7,0.1,
17,1,3,6,3,0.02,0.025,0.36,0.12,0.012,1.0,0.95,0.12,obstacle_step
18,2,3,18,15,0.07,0.08,0.16,0.38,0.06,2.2,2.1,0.9,mixed
19,3,3,25,18,0.085,0.11,0.22,0.5,0.085,2.8,2.8,1.1,
20,4,3,10,22,0.06,0.1,0.28,0.45,0.07,2.5,2.4,0.95,mixed
